"State","Kind","Address","Label","Folder","File","Status","Source"
"0x33","Update","0x0048EC60","CPlayerHero::UpdateYoungThrow","33 - YoungThrowLow","update - 0x0048EC60 - UpdateYoungThrow.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048EC60_CPlayerHero__UpdateYoungThrow.c"
"0x34","Enter","0x0048EFD0","CPlayerHero::EnterYoungStabAnimation","34 - YoungStabAnimation","enter - 0x0048EFD0 - EnterYoungStabAnimation.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048EFD0_CPlayerHero__EnterYoungStabAnimation.c"
"0x34","Update","0x0048F0D0","CPlayerHero::UpdateYoungStabAnimation","34 - YoungStabAnimation","update - 0x0048F0D0 - UpdateYoungStabAnimation.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048F0D0_CPlayerHero__UpdateYoungStabAnimation.c"
"0x35","Enter","0x0048F050","CPlayerHero::EnterYoungAlternativeStabAnimation","35 - YoungAlternativeStabAnimation","enter - 0x0048F050 - EnterYoungAlternativeStabAnimation.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048F050_CPlayerHero__EnterYoungAlternativeStabAnimation.c"
"0x35","Update","0x0048F0D0","CPlayerHero::UpdateYoungStabAnimation","35 - YoungAlternativeStabAnimation","update - 0x0048F0D0 - UpdateYoungStabAnimation.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048F0D0_CPlayerHero__UpdateYoungStabAnimation.c"
"0x36","Enter","0x004905D0","CPlayerHero::EnterYoungTutorialPickupReaction","36 - YoungTutorialPickupReaction","enter - 0x004905D0 - EnterYoungTutorialPickupReaction.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\004905D0_CPlayerHero__EnterYoungTutorialPickupReaction.c"
"0x36","Update","0x00490610","CPlayerHero::UpdateYoungTutorialPickupReaction","36 - YoungTutorialPickupReaction","update - 0x00490610 - UpdateYoungTutorialPickupReaction.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490610_CPlayerHero__UpdateYoungTutorialPickupReaction.c"
"0x37","Enter","0x004906C0","CPlayerHero::EnterYoungTarzanAndTerkTutorialPickupSequence","37 - YoungAndTerkTutorialPickupSequence","enter - 0x004906C0 - EnterYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\004906C0_CPlayerHero__EnterYoungTarzanAndTerkTutorialPickupSequence.c"
"0x37","Update","0x00490780","CPlayerHero::UpdateYoungTarzanAndTerkTutorialPickupSequence","37 - YoungAndTerkTutorialPickupSequence","update - 0x00490780 - UpdateYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490780_CPlayerHero__UpdateYoungTarzanAndTerkTutorialPickupSequence.c"
"0x38","Enter","0x004906C0","CPlayerHero::EnterYoungTarzanAndTerkTutorialPickupSequence","38 - YoungAndTerkTutorialPickupSequence","enter - 0x004906C0 - EnterYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\004906C0_CPlayerHero__EnterYoungTarzanAndTerkTutorialPickupSequence.c"
"0x38","Update","0x00490780","CPlayerHero::UpdateYoungTarzanAndTerkTutorialPickupSequence","38 - YoungAndTerkTutorialPickupSequence","update - 0x00490780 - UpdateYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490780_CPlayerHero__UpdateYoungTarzanAndTerkTutorialPickupSequence.c"
"0x39","Enter","0x004906C0","CPlayerHero::EnterYoungTarzanAndTerkTutorialPickupSequence","39 - YoungAndTerkTutorialPickupSequence","enter - 0x004906C0 - EnterYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\004906C0_CPlayerHero__EnterYoungTarzanAndTerkTutorialPickupSequence.c"
"0x39","Update","0x00490780","CPlayerHero::UpdateYoungTarzanAndTerkTutorialPickupSequence","39 - YoungAndTerkTutorialPickupSequence","update - 0x00490780 - UpdateYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490780_CPlayerHero__UpdateYoungTarzanAndTerkTutorialPickupSequence.c"
"0x3A","Enter","0x00490DD0","CPlayerHero::EnterYoungTutorialPickupFinalPose","3A - YoungTutorialPickupFinalPose","enter - 0x00490DD0 - EnterYoungTutorialPickupFinalPose.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490DD0_CPlayerHero__EnterYoungTutorialPickupFinalPose.c"
"0x3A","Update","0x00490780","CPlayerHero::UpdateYoungTarzanAndTerkTutorialPickupSequence","3A - YoungTutorialPickupFinalPose","update - 0x00490780 - UpdateYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490780_CPlayerHero__UpdateYoungTarzanAndTerkTutorialPickupSequence.c"
"0x3B","Enter","0x004906C0","CPlayerHero::EnterYoungTarzanAndTerkTutorialPickupSequence","3B - YoungAndTerkTutorialPickupSequence","enter - 0x004906C0 - EnterYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\004906C0_CPlayerHero__EnterYoungTarzanAndTerkTutorialPickupSequence.c"
"0x3B","Update","0x00490780","CPlayerHero::UpdateYoungTarzanAndTerkTutorialPickupSequence","3B - YoungAndTerkTutorialPickupSequence","update - 0x00490780 - UpdateYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490780_CPlayerHero__UpdateYoungTarzanAndTerkTutorialPickupSequence.c"
"0x3C","Enter","0x004906C0","CPlayerHero::EnterYoungTarzanAndTerkTutorialPickupSequence","3C - YoungAndTerkTutorialPickupSequence","enter - 0x004906C0 - EnterYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\004906C0_CPlayerHero__EnterYoungTarzanAndTerkTutorialPickupSequence.c"
"0x3C","Update","0x00490780","CPlayerHero::UpdateYoungTarzanAndTerkTutorialPickupSequence","3C - YoungAndTerkTutorialPickupSequence","update - 0x00490780 - UpdateYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490780_CPlayerHero__UpdateYoungTarzanAndTerkTutorialPickupSequence.c"
"0x3D","Enter","0x004906C0","CPlayerHero::EnterYoungTarzanAndTerkTutorialPickupSequence","3D - YoungAndTerkTutorialPickupSequence","enter - 0x004906C0 - EnterYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\004906C0_CPlayerHero__EnterYoungTarzanAndTerkTutorialPickupSequence.c"
"0x3D","Update","0x00490780","CPlayerHero::UpdateYoungTarzanAndTerkTutorialPickupSequence","3D - YoungAndTerkTutorialPickupSequence","update - 0x00490780 - UpdateYoungAndTerkTutorialPickupSequence.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490780_CPlayerHero__UpdateYoungTarzanAndTerkTutorialPickupSequence.c"
"0x3E","Enter","0x00490E10","CPlayerHero::EnterYoungTutorialPickupReturnIdle","3E - YoungTutorialPickupReturnIdle","enter - 0x00490E10 - EnterYoungTutorialPickupReturnIdle.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490E10_CPlayerHero__EnterYoungTutorialPickupReturnIdle.c"
"0x3E","Update","0x00490E20","CPlayerHero::UpdateYoungTutorialPickupReturnIdle","3E - YoungTutorialPickupReturnIdle","update - 0x00490E20 - UpdateYoungTutorialPickupReturnIdle.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490E20_CPlayerHero__UpdateYoungTutorialPickupReturnIdle.c"
